Line Number	Position	Line	Error	Message
978	40	"a(SCHEM:""Very Low Density Lipoprotein"") hasComponent a(CHEBI:cholesterol)"	BELSyntaxError	"General Parser Failure on line 978 at pos 40: a(SCHEM:""Very Low Density Lipoprotein"") hasComponent a(CHEBI:cholesterol)"
979	40	"a(SCHEM:""Very Low Density Lipoprotein"") hasComponent a(SCHEM:Triacylglycerol)"	BELSyntaxError	"General Parser Failure on line 979 at pos 40: a(SCHEM:""Very Low Density Lipoprotein"") hasComponent a(SCHEM:Triacylglycerol)"
980	40	"a(SCHEM:""Very Low Density Lipoprotein"") hasComponent a(CHEBI:phospholipid)"	BELSyntaxError	"General Parser Failure on line 980 at pos 40: a(SCHEM:""Very Low Density Lipoprotein"") hasComponent a(CHEBI:phospholipid)"
1025	37	cat(p(RGD:Hmox1)) rateLimitingStepOf deg(a(CHEBI:heme))	BELSyntaxError	General Parser Failure on line 1025 at pos 37: cat(p(RGD:Hmox1)) rateLimitingStepOf deg(a(CHEBI:heme))
1076	44	"bp(GOBP:""response to hypoxia"") increases bp(GOBP:necrosis)"	MissingNamespaceNameWarning	"""necrosis"" is not in the GOBP namespace"
1119	4	"SET CellStructure = ""extracellular matrix"""	IllegalAnnotationValueWarning	"""extracellular matrix"" is not defined in the CellStructure annotation"
1139	4	"SET CellStructure = ""extracellular matrix"""	IllegalAnnotationValueWarning	"""extracellular matrix"" is not defined in the CellStructure annotation"
1277	4	SET MeSHAnatomy = tumor	IllegalAnnotationValueWarning	"""tumor"" is not defined in the MeSHAnatomy annotation"
1610	44	"bp(GOBP:""response to hypoxia"") increases bp(GOBP:necrosis)"	MissingNamespaceNameWarning	"""necrosis"" is not in the GOBP namespace"
1720	44	"bp(GOBP:""response to hypoxia"") increases bp(GOBP:necrosis)"	MissingNamespaceNameWarning	"""necrosis"" is not in the GOBP namespace"
1737	27	p(RGD:Prl) increases cat(p(RGD:Akr1c18))	MissingNamespaceNameWarning	"""Akr1c18"" is not in the RGD namespace"
2261	44	"a(SCHEM:""Intermediate Density Lipoprotein"") hasComponent p(MGI:Apoe)"	BELSyntaxError	"General Parser Failure on line 2261 at pos 44: a(SCHEM:""Intermediate Density Lipoprotein"") hasComponent p(MGI:Apoe)"
2262	44	"a(SCHEM:""Intermediate Density Lipoprotein"") hasComponent a(CHEBI:cholesterol)"	BELSyntaxError	"General Parser Failure on line 2262 at pos 44: a(SCHEM:""Intermediate Density Lipoprotein"") hasComponent a(CHEBI:cholesterol)"
2266	36	"a(SCHEM:""High Density Lipoprotein"") hasComponent a(CHEBI:""cholesterol ester"")"	BELSyntaxError	"General Parser Failure on line 2266 at pos 36: a(SCHEM:""High Density Lipoprotein"") hasComponent a(CHEBI:""cholesterol ester"")"
2279	44	"a(SCHEM:""Intermediate Density Lipoprotein"") hasComponent p(MGI:Apoe)"	BELSyntaxError	"General Parser Failure on line 2279 at pos 44: a(SCHEM:""Intermediate Density Lipoprotein"") hasComponent p(MGI:Apoe)"
2280	40	"a(SCHEM:""Very Low Density Lipoprotein"") hasComponent p(MGI:Apoc1)"	BELSyntaxError	"General Parser Failure on line 2280 at pos 40: a(SCHEM:""Very Low Density Lipoprotein"") hasComponent p(MGI:Apoc1)"
2281	40	"a(SCHEM:""Very Low Density Lipoprotein"") hasComponent p(MGI:Apoc2)"	BELSyntaxError	"General Parser Failure on line 2281 at pos 40: a(SCHEM:""Very Low Density Lipoprotein"") hasComponent p(MGI:Apoc2)"
2282	40	"a(SCHEM:""Very Low Density Lipoprotein"") hasComponent p(MGI:Apoc3)"	BELSyntaxError	"General Parser Failure on line 2282 at pos 40: a(SCHEM:""Very Low Density Lipoprotein"") hasComponent p(MGI:Apoc3)"
2286	40	"a(SCHEM:""Very Low Density Lipoprotein"") hasComponent a(CHEBI:""cholesterol ester"")"	BELSyntaxError	"General Parser Failure on line 2286 at pos 40: a(SCHEM:""Very Low Density Lipoprotein"") hasComponent a(CHEBI:""cholesterol ester"")"
2302	23	"a(SCHEM:""prebeta-HDL"") hasComponent a(CHEBI:lipid)"	BELSyntaxError	"General Parser Failure on line 2302 at pos 23: a(SCHEM:""prebeta-HDL"") hasComponent a(CHEBI:lipid)"
2315	35	"a(SCHEM:""Low Density Lipoprotein"") hasComponent a(CHEBI:""cholesterol ester"")"	BELSyntaxError	"General Parser Failure on line 2315 at pos 35: a(SCHEM:""Low Density Lipoprotein"") hasComponent a(CHEBI:""cholesterol ester"")"
2316	35	"a(SCHEM:""Low Density Lipoprotein"") hasComponent a(CHEBI:cholesterol)"	BELSyntaxError	"General Parser Failure on line 2316 at pos 35: a(SCHEM:""Low Density Lipoprotein"") hasComponent a(CHEBI:cholesterol)"
2317	35	"a(SCHEM:""Low Density Lipoprotein"") hasComponent a(SCHEM:Triacylglycerol)"	BELSyntaxError	"General Parser Failure on line 2317 at pos 35: a(SCHEM:""Low Density Lipoprotein"") hasComponent a(SCHEM:Triacylglycerol)"
2318	35	"a(SCHEM:""Low Density Lipoprotein"") hasComponent a(CHEBI:phospholipid)"	BELSyntaxError	"General Parser Failure on line 2318 at pos 35: a(SCHEM:""Low Density Lipoprotein"") hasComponent a(CHEBI:phospholipid)"
2356	36	"a(SCHEM:""High Density Lipoprotein"") hasComponent p(MGI:Apoa2)"	BELSyntaxError	"General Parser Failure on line 2356 at pos 36: a(SCHEM:""High Density Lipoprotein"") hasComponent p(MGI:Apoa2)"
2377	32	"a(SCHEM:""Lipoprotein Particle"") hasComponent a(CHEBI:cholesterol)"	BELSyntaxError	"General Parser Failure on line 2377 at pos 32: a(SCHEM:""Lipoprotein Particle"") hasComponent a(CHEBI:cholesterol)"
2389	36	"a(SCHEM:""High Density Lipoprotein"") hasComponent p(MGI:Apoa1)"	BELSyntaxError	"General Parser Failure on line 2389 at pos 36: a(SCHEM:""High Density Lipoprotein"") hasComponent p(MGI:Apoa1)"
2548	4	SET CellStructure = mitochondrion	IllegalAnnotationValueWarning	"""mitochondrion"" is not defined in the CellStructure annotation"
2574	4	"SET MeSHAnatomy = ""infected tissue"""	IllegalAnnotationValueWarning	"""infected tissue"" is not defined in the MeSHAnatomy annotation"
2617	4	"SET MeSHAnatomy = ""infected tissue"""	IllegalAnnotationValueWarning	"""infected tissue"" is not defined in the MeSHAnatomy annotation"
2626	4	"SET MeSHAnatomy = ""infected tissue"""	IllegalAnnotationValueWarning	"""infected tissue"" is not defined in the MeSHAnatomy annotation"
2635	4	"SET MeSHAnatomy = ""infected tissue"""	IllegalAnnotationValueWarning	"""infected tissue"" is not defined in the MeSHAnatomy annotation"
2643	4	"SET MeSHAnatomy = ""infected tissue"""	IllegalAnnotationValueWarning	"""infected tissue"" is not defined in the MeSHAnatomy annotation"
2846	4	"SET Cell = ""T-cell"""	IllegalAnnotationValueWarning	"""T-cell"" is not defined in the Cell annotation"
3458	4	"SET Cell = ""T-cell"""	IllegalAnnotationValueWarning	"""T-cell"" is not defined in the Cell annotation"
4463	4	"SET Cell = ""T-cell"""	IllegalAnnotationValueWarning	"""T-cell"" is not defined in the Cell annotation"
4471	4	"SET Cell = ""T-cell"""	IllegalAnnotationValueWarning	"""T-cell"" is not defined in the Cell annotation"
4591	4	SET CellStructure = mitochondrion	IllegalAnnotationValueWarning	"""mitochondrion"" is not defined in the CellStructure annotation"
5031	6	"cat(p(RGD:Glrx1)) decreases bp(GOBP:""response to oxidative stress"")"	MissingNamespaceNameWarning	"""Glrx1"" is not in the RGD namespace"
5072	4	"SET MeSHAnatomy = ""palate shelves"""	IllegalAnnotationValueWarning	"""palate shelves"" is not defined in the MeSHAnatomy annotation"
5365	4	"SET MeSHAnatomy = ""bronchoalveolar lavage fluid"""	IllegalAnnotationValueWarning	"""bronchoalveolar lavage fluid"" is not defined in the MeSHAnatomy annotation"
5383	4	"SET MeSHAnatomy = ""bronchoalveolar lavage fluid"""	IllegalAnnotationValueWarning	"""bronchoalveolar lavage fluid"" is not defined in the MeSHAnatomy annotation"
5412	25	composite(p(HGNC:IFNG),p(HGNCTNF)) increases p(HGNC:CCL5)	NakedNameWarning	"""HGNCTNF"" should be qualified with a valid namespace"
5420	4	"SET MeSHAnatomy = ""bronchoalveolar lavage fluid"""	IllegalAnnotationValueWarning	"""bronchoalveolar lavage fluid"" is not defined in the MeSHAnatomy annotation"
5769	4	"SET Anatomy = {""Endothelium, Vascular"",""vascular tissue""}"	IllegalAnnotationValueWarning	"""Endothelium, Vascular"" is not defined in the Anatomy annotation"
5781	4	"SET Anatomy = {""Endothelium, Vascular"",""vascular tissue""}"	IllegalAnnotationValueWarning	"""Endothelium, Vascular"" is not defined in the Anatomy annotation"
7336	33	"a(SCHEM:Tretinoin) increases pep(p(SCOMP:""Proteasome Complex""))"	InvalidFunctionSemantic	Protein SCOMP:Proteasome Complex should be encoded as one of: Complex
8136	4	"SET MeSHAnatomy = ""bronchoalveolar lavage fluid"""	IllegalAnnotationValueWarning	"""bronchoalveolar lavage fluid"" is not defined in the MeSHAnatomy annotation"
8167	4	"SET MeSHAnatomy = ""bronchoalveolar lavage fluid"""	IllegalAnnotationValueWarning	"""bronchoalveolar lavage fluid"" is not defined in the MeSHAnatomy annotation"
9169	4	"SET CellStructure = ""proteasome complex (sensu Eukarya) Mm"""	IllegalAnnotationValueWarning	"""proteasome complex (sensu Eukarya) Mm"" is not defined in the CellStructure annotation"
9477	4	"SET CellLine = ""rat-1 cell"""	IllegalAnnotationValueWarning	"""rat-1 cell"" is not defined in the CellLine annotation"
9634	34	p(HGNC:PPARA) negativeCorrelation (p(HGNC:IL1A) increases p(HGNC:VCAM1))	BELSyntaxError	General Parser Failure on line 9634 at pos 34: p(HGNC:PPARA) negativeCorrelation (p(HGNC:IL1A) increases p(HGNC:VCAM1))
11028	4	"SET CellLine = ""beta TC3 cell"""	IllegalAnnotationValueWarning	"""beta TC3 cell"" is not defined in the CellLine annotation"
11123	4	"SET CellLine = {""293T cell line"",""Jurkat cell line""}"	IllegalAnnotationValueWarning	"""293T cell line"" is not defined in the CellLine annotation"
11858	8	complex(tscript(p(HGNC:TEAD2)),g(HGNC:TP53))	NakedNameWarning	"""tscript"" should be qualified with a valid namespace"
12690	4	SET CellStructure = mitochondrion	IllegalAnnotationValueWarning	"""mitochondrion"" is not defined in the CellStructure annotation"
12697	4	SET CellStructure = peroxisome	IllegalAnnotationValueWarning	"""peroxisome"" is not defined in the CellStructure annotation"
13397	4	"SET CellLine = ""SK-BR-3"""	IllegalAnnotationValueWarning	"""SK-BR-3"" is not defined in the CellLine annotation"
14014	34	"path(MESHD:Ischemia) decreases bp(GOBP:""electron transport"")"	MissingNamespaceNameWarning	"""electron transport"" is not in the GOBP namespace"
14022	48	"a(CHEBI:""reactive oxygen species"") increases bp(GOBP:necrosis)"	MissingNamespaceNameWarning	"""necrosis"" is not in the GOBP namespace"
15292	14	p(HGNC:PPARA) hasComponent p(HGNC:RELA)	BELSyntaxError	General Parser Failure on line 15292 at pos 14: p(HGNC:PPARA) hasComponent p(HGNC:RELA)
15305	14	p(HGNC:PPARA) hasComponent p(HGNC:JUN)	BELSyntaxError	General Parser Failure on line 15305 at pos 14: p(HGNC:PPARA) hasComponent p(HGNC:JUN)
15441	4	SET CellStructure = mitochondrion	IllegalAnnotationValueWarning	"""mitochondrion"" is not defined in the CellStructure annotation"
17229	4	"SET CellLine = ""DA3 cell"""	IllegalAnnotationValueWarning	"""DA3 cell"" is not defined in the CellLine annotation"
17336	4	"SET CellStructure = ""sarcoplasmic reticulum"""	IllegalAnnotationValueWarning	"""sarcoplasmic reticulum"" is not defined in the CellStructure annotation"
17340	4	"SET CellStructure = ""Endoplasmic reticulum"""	IllegalAnnotationValueWarning	"""Endoplasmic reticulum"" is not defined in the CellStructure annotation"
17347	4	SET CellStructure = cytosol	IllegalAnnotationValueWarning	"""cytosol"" is not defined in the CellStructure annotation"
18153	8	"complex(SCOMP:""Chaperone Activity of CCT complex"") increases p(HGNC:VHL)"	MissingNamespaceNameWarning	"""Chaperone Activity of CCT complex"" is not in the SCOMP namespace"
18654	4	SET CellStructure = endosome	IllegalAnnotationValueWarning	"""endosome"" is not defined in the CellStructure annotation"
21025	10	tscript(p(MGI:Tcfe3)) directlyIncreases r(MGI:Tyrp1)	MissingNamespaceNameWarning	"""Tcfe3"" is not in the MGI namespace"
21026	10	tscript(p(MGI:Tcfe3)) directlyIncreases r(MGI:Tyr)	MissingNamespaceNameWarning	"""Tcfe3"" is not in the MGI namespace"
21027	10	tscript(p(MGI:Tcfeb)) directlyIncreases r(MGI:Tyrp1)	MissingNamespaceNameWarning	"""Tcfeb"" is not in the MGI namespace"
23297	4	"SET Anatomy = {""Adipose Tissue"",""white adipose""}"	IllegalAnnotationValueWarning	"""Adipose Tissue"" is not defined in the Anatomy annotation"
23958	4	"SET MeSHAnatomy = ""bronchoalveolar lavage fluid"""	IllegalAnnotationValueWarning	"""bronchoalveolar lavage fluid"" is not defined in the MeSHAnatomy annotation"
25344	10	tscript(p(RGD:Tcfap2a)) directlyIncreases r(RGD:Npy)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the RGD namespace"
25369	0	p(EGID:60580) increases kin(p(RGD:Map2k1))	InvalidFunctionSemantic	Protein EGID:60580 should be encoded as one of: RNA, Gene, miRNA
26328	39	"a(SCHEM:""serum insulin"") decreases pep(p(SCOMP:""Proteasome Complex""))"	InvalidFunctionSemantic	Protein SCOMP:Proteasome Complex should be encoded as one of: Complex
28228	4	SET CellStructure = intracellular	IllegalAnnotationValueWarning	"""intracellular"" is not defined in the CellStructure annotation"
28314	4	"SET Anatomy = {""Endothelium, Vascular"",""vascular tissue""}"	IllegalAnnotationValueWarning	"""Endothelium, Vascular"" is not defined in the Anatomy annotation"
28477	52	"phos(complex(SCOMP:""Calcineurin Complex"")) increases p(EGID:111671)"	InvalidFunctionSemantic	Protein EGID:111671 should be encoded as one of: Gene
29761	10	tscript(p(MGI:Tcfcp2)) decreases bp(MESHPP:Apoptosis)	MissingNamespaceNameWarning	"""Tcfcp2"" is not in the MGI namespace"
31167	4	SET CellStructure = lysosome	IllegalAnnotationValueWarning	"""lysosome"" is not defined in the CellStructure annotation"
31357	38	bp(MESHPP:Obesity) negativeCorrelation r(EGID:15127)	InvalidFunctionSemantic	RNA EGID:15127 should be encoded as one of: Gene
31682	27	"p(RGD:Psmc3) increases pep(p(SCOMP:""Proteasome Complex""))"	InvalidFunctionSemantic	Protein SCOMP:Proteasome Complex should be encoded as one of: Complex
31908	4	"SET CellLine = ""rat-1 cell"""	IllegalAnnotationValueWarning	"""rat-1 cell"" is not defined in the CellLine annotation"
31950	4	"SET Anatomy = {""vascular smooth muscle"",""vascular tissue""}"	IllegalAnnotationValueWarning	"""vascular smooth muscle"" is not defined in the Anatomy annotation"
32132	4	"SET CellLine = ""SK-BR-3"""	IllegalAnnotationValueWarning	"""SK-BR-3"" is not defined in the CellLine annotation"
32140	4	"SET CellLine = ""SK-BR-3"""	IllegalAnnotationValueWarning	"""SK-BR-3"" is not defined in the CellLine annotation"
32172	4	"SET Anatomy = {""Endothelium"",""vascular tissue""}"	IllegalAnnotationValueWarning	"""Endothelium"" is not defined in the Anatomy annotation"
32616	4	"SET CellLine = ""OVCAR-8 cell"""	IllegalAnnotationValueWarning	"""OVCAR-8 cell"" is not defined in the CellLine annotation"
33172	4	"SET MeSHAnatomy = ""bronchoalveolar lavage fluid"""	IllegalAnnotationValueWarning	"""bronchoalveolar lavage fluid"" is not defined in the MeSHAnatomy annotation"
33388	4	"SET CellLine = ""rat-1 cell"""	IllegalAnnotationValueWarning	"""rat-1 cell"" is not defined in the CellLine annotation"
34366	4	"SET Cell = ""islet cell"""	IllegalAnnotationValueWarning	"""islet cell"" is not defined in the Cell annotation"
35033	8	complex(tscript(p(MGI:Creb1)),g(MGI:Anxa1))	NakedNameWarning	"""tscript"" should be qualified with a valid namespace"
35566	4	"SET Cell = ""T-cell"""	IllegalAnnotationValueWarning	"""T-cell"" is not defined in the Cell annotation"
36231	4	"SET MeSHAnatomy = ""bronchoalveolar lavage fluid"""	IllegalAnnotationValueWarning	"""bronchoalveolar lavage fluid"" is not defined in the MeSHAnatomy annotation"
38200	44	"bp(GOBP:""response to hypoxia"") increases bp(GOBP:necrosis)"	MissingNamespaceNameWarning	"""necrosis"" is not in the GOBP namespace"
38201	71	"sec(p(MGI:Clu)) increases (bp(GOBP:""response to hypoxia"") increases bp(GOBP:necrosis))"	MissingNamespaceNameWarning	"""necrosis"" is not in the GOBP namespace"
38503	30	tscript(p(MGI:Irx4)) decreases r(EGID:111671)	InvalidFunctionSemantic	RNA EGID:111671 should be encoded as one of: Gene
38594	10	tscript(p(MGI:Tcfap2a)) directlyIncreases r(MGI:Sel1l)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
40291	4	SET CellStructure = mitochondrion	IllegalAnnotationValueWarning	"""mitochondrion"" is not defined in the CellStructure annotation"
41066	4	"SET Anatomy = {""Endothelium, Vascular"",""vascular tissue""}"	IllegalAnnotationValueWarning	"""Endothelium, Vascular"" is not defined in the Anatomy annotation"
42094	41	kin(p(HGNC:SRC)) directlyIncreases cat(p(HGNC:GRLF1))	MissingNamespaceNameWarning	"""GRLF1"" is not in the HGNC namespace"
42817	27	a(CHEBI:nicotine) decreases p(EGID:503543)	InvalidFunctionSemantic	Protein EGID:503543 should be encoded as one of: RNA, Gene, miRNA
42849	4	"SET Cell = ""epididymal fat cell"""	IllegalAnnotationValueWarning	"""epididymal fat cell"" is not defined in the Cell annotation"
43294	4	"SET Anatomy = {""Endothelium"",""vascular tissue""}"	IllegalAnnotationValueWarning	"""Endothelium"" is not defined in the Anatomy annotation"
43458	4	"SET CellStructure = ""focal adhesion"""	IllegalAnnotationValueWarning	"""focal adhesion"" is not defined in the CellStructure annotation"
43491	4	"SET Anatomy = {""Muscle, Smooth"",""vascular tissue""}"	IllegalAnnotationValueWarning	"""Muscle, Smooth"" is not defined in the Anatomy annotation"
43538	4	"SET Anatomy = {""Endothelium"",""vascular tissue""}"	IllegalAnnotationValueWarning	"""Endothelium"" is not defined in the Anatomy annotation"
44182	4	"SET CellStructure = ""extracellular space"""	IllegalAnnotationValueWarning	"""extracellular space"" is not defined in the CellStructure annotation"
44307	31	cat(p(RGD:Alox5)) increases bp(GOBP:necrosis)	MissingNamespaceNameWarning	"""necrosis"" is not in the GOBP namespace"
44925	8	"complex(SCOMP:""Catalytic Activity of T-cell receptor complex"") increases kin(p(HGNC:MAPK3))"	MissingNamespaceNameWarning	"""Catalytic Activity of T-cell receptor complex"" is not in the SCOMP namespace"
44926	8	"complex(SCOMP:""Catalytic Activity of T-cell receptor complex"") increases tscript(p(HGNC:NFATC2))"	MissingNamespaceNameWarning	"""Catalytic Activity of T-cell receptor complex"" is not in the SCOMP namespace"
44927	32	"p(HGNC:LCP2) increases (complex(SCOMP:""Catalytic Activity of T-cell receptor complex"") increases kin(p(HGNC:MAPK3)))"	MissingNamespaceNameWarning	"""Catalytic Activity of T-cell receptor complex"" is not in the SCOMP namespace"
44928	32	"p(HGNC:LCP2) increases (complex(SCOMP:""Catalytic Activity of T-cell receptor complex"") increases tscript(p(HGNC:NFATC2)))"	MissingNamespaceNameWarning	"""Catalytic Activity of T-cell receptor complex"" is not in the SCOMP namespace"
45230	0	p(EGID:432551) increases cat(p(MGI:Myd88))	InvalidFunctionSemantic	Protein EGID:432551 should be encoded as one of: RNA, Gene, miRNA
45234	0	p(EGID:432551) increases cat(p(MGI:Myd88))	InvalidFunctionSemantic	Protein EGID:432551 should be encoded as one of: RNA, Gene, miRNA
45249	0	p(EGID:432551) increases kin(p(MGI:Chuk))	InvalidFunctionSemantic	Protein EGID:432551 should be encoded as one of: RNA, Gene, miRNA
45250	0	p(EGID:432551) increases kin(p(MGI:Mapk1))	InvalidFunctionSemantic	Protein EGID:432551 should be encoded as one of: RNA, Gene, miRNA
45251	0	p(EGID:432551) increases kin(p(MGI:Mapk14))	InvalidFunctionSemantic	Protein EGID:432551 should be encoded as one of: RNA, Gene, miRNA
45252	0	p(EGID:432551) increases kin(p(MGI:Mapk3))	InvalidFunctionSemantic	Protein EGID:432551 should be encoded as one of: RNA, Gene, miRNA
45253	0	p(EGID:432551) increases kin(p(MGI:Mapk8))	InvalidFunctionSemantic	Protein EGID:432551 should be encoded as one of: RNA, Gene, miRNA
45254	0	p(EGID:432551) increases kin(p(MGI:Mapk9))	InvalidFunctionSemantic	Protein EGID:432551 should be encoded as one of: RNA, Gene, miRNA
45724	25	"p(HGNC:RB1) decreases bp(GOBP:""M/G1 transition of mitotic cell cycle"")"	MissingNamespaceNameWarning	"""M/G1 transition of mitotic cell cycle"" is not in the GOBP namespace"
45742	4	"SET CellLine = ""Carcinoma of leukemia"""	IllegalAnnotationValueWarning	"""Carcinoma of leukemia"" is not defined in the CellLine annotation"
45768	31	tscript(p(MGI:Trp53)) increases r(EGID:27282)	InvalidFunctionSemantic	RNA EGID:27282 should be encoded as one of: Gene
46184	23	p(HGNC:TGFB1) decreases p(EGID:85389)	InvalidFunctionSemantic	Protein EGID:85389 should be encoded as one of: RNA, Gene, miRNA
46185	23	p(HGNC:TGFB1) decreases p(EGID:85391)	InvalidFunctionSemantic	Protein EGID:85391 should be encoded as one of: RNA, Gene, miRNA
46384	4	"SET CellLine = ""MM.1S cell"""	IllegalAnnotationValueWarning	"""MM.1S cell"" is not defined in the CellLine annotation"
47643	4	"SET Cell = ""T-cell"""	IllegalAnnotationValueWarning	"""T-cell"" is not defined in the Cell annotation"
47784	4	"SET MeSHAnatomy = ""bronchoalveolar lavage fluid"""	IllegalAnnotationValueWarning	"""bronchoalveolar lavage fluid"" is not defined in the MeSHAnatomy annotation"
47797	4	"SET MeSHAnatomy = ""bronchoalveolar lavage fluid"""	IllegalAnnotationValueWarning	"""bronchoalveolar lavage fluid"" is not defined in the MeSHAnatomy annotation"
47903	4	"SET CellLine = ""Hepa1 cell"""	IllegalAnnotationValueWarning	"""Hepa1 cell"" is not defined in the CellLine annotation"
47986	4	"SET MeSHAnatomy = ""bronchoalveolar lavage fluid"""	IllegalAnnotationValueWarning	"""bronchoalveolar lavage fluid"" is not defined in the MeSHAnatomy annotation"
48637	8	complex(tscript(p(MGI:Tcf3)),g(MGI:Ptcra))	NakedNameWarning	"""tscript"" should be qualified with a valid namespace"
50483	4	"SET Anatomy = {""Muscle, Smooth"",""vascular tissue""}"	IllegalAnnotationValueWarning	"""Muscle, Smooth"" is not defined in the Anatomy annotation"
51380	10	tscript(p(MGI:Tcfap2a)) directlyIncreases r(MGI:Pltp)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
53390	4	"SET Cell = ""islet cell"""	IllegalAnnotationValueWarning	"""islet cell"" is not defined in the Cell annotation"
54013	51	tscript(p(MGI:Cited2)) directlyIncreases tscript(p(MGI:Tcfap2a))	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
54014	51	tscript(p(MGI:Cited2)) directlyIncreases tscript(p(MGI:Tcfap2b))	MissingNamespaceNameWarning	"""Tcfap2b"" is not in the MGI namespace"
