Line Number	Position	Line	Error	Message
3459	4	"SET Cell = ""T-cell"""	IllegalAnnotationValueWarning	"""T-cell"" is not defined in the Cell annotation"
4464	4	"SET Cell = ""T-cell"""	IllegalAnnotationValueWarning	"""T-cell"" is not defined in the Cell annotation"
4472	4	"SET Cell = ""T-cell"""	IllegalAnnotationValueWarning	"""T-cell"" is not defined in the Cell annotation"
4592	4	SET CellStructure = mitochondrion	IllegalAnnotationValueWarning	"""mitochondrion"" is not defined in the CellStructure annotation"
5032	6	"cat(p(RGD:Glrx1)) decreases bp(GOBP:""response to oxidative stress"")"	MissingNamespaceNameWarning	"""Glrx1"" is not in the RGD namespace"
5073	4	"SET MeSHAnatomy = ""palate shelves"""	IllegalAnnotationValueWarning	"""palate shelves"" is not defined in the MeSHAnatomy annotation"
5366	4	"SET MeSHAnatomy = ""bronchoalveolar lavage fluid"""	IllegalAnnotationValueWarning	"""bronchoalveolar lavage fluid"" is not defined in the MeSHAnatomy annotation"
5384	4	"SET MeSHAnatomy = ""bronchoalveolar lavage fluid"""	IllegalAnnotationValueWarning	"""bronchoalveolar lavage fluid"" is not defined in the MeSHAnatomy annotation"
5413	25	composite(p(HGNC:IFNG),p(HGNCTNF)) increases p(HGNC:CCL5)	NakedNameWarning	"""HGNCTNF"" should be qualified with a valid namespace"
5421	4	"SET MeSHAnatomy = ""bronchoalveolar lavage fluid"""	IllegalAnnotationValueWarning	"""bronchoalveolar lavage fluid"" is not defined in the MeSHAnatomy annotation"
5770	4	"SET Anatomy = {""Endothelium, Vascular"",""vascular tissue""}"	IllegalAnnotationValueWarning	"""Endothelium, Vascular"" is not defined in the Anatomy annotation"
5782	4	"SET Anatomy = {""Endothelium, Vascular"",""vascular tissue""}"	IllegalAnnotationValueWarning	"""Endothelium, Vascular"" is not defined in the Anatomy annotation"
8137	4	"SET MeSHAnatomy = ""bronchoalveolar lavage fluid"""	IllegalAnnotationValueWarning	"""bronchoalveolar lavage fluid"" is not defined in the MeSHAnatomy annotation"
8168	4	"SET MeSHAnatomy = ""bronchoalveolar lavage fluid"""	IllegalAnnotationValueWarning	"""bronchoalveolar lavage fluid"" is not defined in the MeSHAnatomy annotation"
9170	4	"SET CellStructure = ""proteasome complex (sensu Eukarya) Mm"""	IllegalAnnotationValueWarning	"""proteasome complex (sensu Eukarya) Mm"" is not defined in the CellStructure annotation"
9478	4	"SET CellLine = ""rat-1 cell"""	IllegalAnnotationValueWarning	"""rat-1 cell"" is not defined in the CellLine annotation"
9635	34	p(HGNC:PPARA) negativeCorrelation (p(HGNC:IL1A) increases p(HGNC:VCAM1))	BELSyntaxError	General Parser Failure on line 9635 at pos 34: p(HGNC:PPARA) negativeCorrelation (p(HGNC:IL1A) increases p(HGNC:VCAM1))
11029	4	"SET CellLine = ""beta TC3 cell"""	IllegalAnnotationValueWarning	"""beta TC3 cell"" is not defined in the CellLine annotation"
11124	4	"SET CellLine = {""293T cell line"",""Jurkat cell line""}"	IllegalAnnotationValueWarning	"""293T cell line"" is not defined in the CellLine annotation"
11859	8	complex(tscript(p(HGNC:TEAD2)),g(HGNC:TP53))	NakedNameWarning	"""tscript"" should be qualified with a valid namespace"
12691	4	SET CellStructure = mitochondrion	IllegalAnnotationValueWarning	"""mitochondrion"" is not defined in the CellStructure annotation"
12698	4	SET CellStructure = peroxisome	IllegalAnnotationValueWarning	"""peroxisome"" is not defined in the CellStructure annotation"
13398	4	"SET CellLine = ""SK-BR-3"""	IllegalAnnotationValueWarning	"""SK-BR-3"" is not defined in the CellLine annotation"
14015	34	"path(MESHD:Ischemia) decreases bp(GOBP:""electron transport"")"	MissingNamespaceNameWarning	"""electron transport"" is not in the GOBP namespace"
14023	48	"a(CHEBI:""reactive oxygen species"") increases bp(GOBP:necrosis)"	MissingNamespaceNameWarning	"""necrosis"" is not in the GOBP namespace"
15442	4	SET CellStructure = mitochondrion	IllegalAnnotationValueWarning	"""mitochondrion"" is not defined in the CellStructure annotation"
17230	4	"SET CellLine = ""DA3 cell"""	IllegalAnnotationValueWarning	"""DA3 cell"" is not defined in the CellLine annotation"
17337	4	"SET CellStructure = ""sarcoplasmic reticulum"""	IllegalAnnotationValueWarning	"""sarcoplasmic reticulum"" is not defined in the CellStructure annotation"
17341	4	"SET CellStructure = ""Endoplasmic reticulum"""	IllegalAnnotationValueWarning	"""Endoplasmic reticulum"" is not defined in the CellStructure annotation"
17348	4	SET CellStructure = cytosol	IllegalAnnotationValueWarning	"""cytosol"" is not defined in the CellStructure annotation"
18154	8	"complex(SCOMP:""Chaperone Activity of CCT complex"") increases p(HGNC:VHL)"	MissingNamespaceNameWarning	"""Chaperone Activity of CCT complex"" is not in the SCOMP namespace"
18655	4	SET CellStructure = endosome	IllegalAnnotationValueWarning	"""endosome"" is not defined in the CellStructure annotation"
21026	10	tscript(p(MGI:Tcfe3)) directlyIncreases r(MGI:Tyrp1)	MissingNamespaceNameWarning	"""Tcfe3"" is not in the MGI namespace"
21027	10	tscript(p(MGI:Tcfe3)) directlyIncreases r(MGI:Tyr)	MissingNamespaceNameWarning	"""Tcfe3"" is not in the MGI namespace"
21028	10	tscript(p(MGI:Tcfeb)) directlyIncreases r(MGI:Tyrp1)	MissingNamespaceNameWarning	"""Tcfeb"" is not in the MGI namespace"
23298	4	"SET Anatomy = {""Adipose Tissue"",""white adipose""}"	IllegalAnnotationValueWarning	"""Adipose Tissue"" is not defined in the Anatomy annotation"
23959	4	"SET MeSHAnatomy = ""bronchoalveolar lavage fluid"""	IllegalAnnotationValueWarning	"""bronchoalveolar lavage fluid"" is not defined in the MeSHAnatomy annotation"
25345	10	tscript(p(RGD:Tcfap2a)) directlyIncreases r(RGD:Npy)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the RGD namespace"
25370	0	p(EGID:60580) increases kin(p(RGD:Map2k1))	InvalidFunctionSemantic	Protein EGID:60580 should be encoded as one of: Gene, RNA, miRNA
28229	4	SET CellStructure = intracellular	IllegalAnnotationValueWarning	"""intracellular"" is not defined in the CellStructure annotation"
28315	4	"SET Anatomy = {""Endothelium, Vascular"",""vascular tissue""}"	IllegalAnnotationValueWarning	"""Endothelium, Vascular"" is not defined in the Anatomy annotation"
28478	52	"phos(complex(SCOMP:""Calcineurin Complex"")) increases p(EGID:111671)"	InvalidFunctionSemantic	Protein EGID:111671 should be encoded as one of: Gene
29762	10	tscript(p(MGI:Tcfcp2)) decreases bp(MESHPP:Apoptosis)	MissingNamespaceNameWarning	"""Tcfcp2"" is not in the MGI namespace"
31168	4	SET CellStructure = lysosome	IllegalAnnotationValueWarning	"""lysosome"" is not defined in the CellStructure annotation"
31358	38	bp(MESHPP:Obesity) negativeCorrelation r(EGID:15127)	InvalidFunctionSemantic	RNA EGID:15127 should be encoded as one of: Gene
31909	4	"SET CellLine = ""rat-1 cell"""	IllegalAnnotationValueWarning	"""rat-1 cell"" is not defined in the CellLine annotation"
31951	4	"SET Anatomy = {""vascular smooth muscle"",""vascular tissue""}"	IllegalAnnotationValueWarning	"""vascular smooth muscle"" is not defined in the Anatomy annotation"
32133	4	"SET CellLine = ""SK-BR-3"""	IllegalAnnotationValueWarning	"""SK-BR-3"" is not defined in the CellLine annotation"
32141	4	"SET CellLine = ""SK-BR-3"""	IllegalAnnotationValueWarning	"""SK-BR-3"" is not defined in the CellLine annotation"
32173	4	"SET Anatomy = {""Endothelium"",""vascular tissue""}"	IllegalAnnotationValueWarning	"""Endothelium"" is not defined in the Anatomy annotation"
32617	4	"SET CellLine = ""OVCAR-8 cell"""	IllegalAnnotationValueWarning	"""OVCAR-8 cell"" is not defined in the CellLine annotation"
33173	4	"SET MeSHAnatomy = ""bronchoalveolar lavage fluid"""	IllegalAnnotationValueWarning	"""bronchoalveolar lavage fluid"" is not defined in the MeSHAnatomy annotation"
33389	4	"SET CellLine = ""rat-1 cell"""	IllegalAnnotationValueWarning	"""rat-1 cell"" is not defined in the CellLine annotation"
34367	4	"SET Cell = ""islet cell"""	IllegalAnnotationValueWarning	"""islet cell"" is not defined in the Cell annotation"
35034	8	complex(tscript(p(MGI:Creb1)),g(MGI:Anxa1))	NakedNameWarning	"""tscript"" should be qualified with a valid namespace"
35567	4	"SET Cell = ""T-cell"""	IllegalAnnotationValueWarning	"""T-cell"" is not defined in the Cell annotation"
36232	4	"SET MeSHAnatomy = ""bronchoalveolar lavage fluid"""	IllegalAnnotationValueWarning	"""bronchoalveolar lavage fluid"" is not defined in the MeSHAnatomy annotation"
38201	44	"bp(GOBP:""response to hypoxia"") increases bp(GOBP:necrosis)"	MissingNamespaceNameWarning	"""necrosis"" is not in the GOBP namespace"
38202	71	"sec(p(MGI:Clu)) increases (bp(GOBP:""response to hypoxia"") increases bp(GOBP:necrosis))"	MissingNamespaceNameWarning	"""necrosis"" is not in the GOBP namespace"
38504	30	tscript(p(MGI:Irx4)) decreases r(EGID:111671)	InvalidFunctionSemantic	RNA EGID:111671 should be encoded as one of: Gene
38595	10	tscript(p(MGI:Tcfap2a)) directlyIncreases r(MGI:Sel1l)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
40292	4	SET CellStructure = mitochondrion	IllegalAnnotationValueWarning	"""mitochondrion"" is not defined in the CellStructure annotation"
41067	4	"SET Anatomy = {""Endothelium, Vascular"",""vascular tissue""}"	IllegalAnnotationValueWarning	"""Endothelium, Vascular"" is not defined in the Anatomy annotation"
42095	41	kin(p(HGNC:SRC)) directlyIncreases cat(p(HGNC:GRLF1))	MissingNamespaceNameWarning	"""GRLF1"" is not in the HGNC namespace"
42818	27	a(CHEBI:nicotine) decreases p(EGID:503543)	InvalidFunctionSemantic	Protein EGID:503543 should be encoded as one of: Gene, RNA, miRNA
42850	4	"SET Cell = ""epididymal fat cell"""	IllegalAnnotationValueWarning	"""epididymal fat cell"" is not defined in the Cell annotation"
43295	4	"SET Anatomy = {""Endothelium"",""vascular tissue""}"	IllegalAnnotationValueWarning	"""Endothelium"" is not defined in the Anatomy annotation"
43459	4	"SET CellStructure = ""focal adhesion"""	IllegalAnnotationValueWarning	"""focal adhesion"" is not defined in the CellStructure annotation"
43492	4	"SET Anatomy = {""Muscle, Smooth"",""vascular tissue""}"	IllegalAnnotationValueWarning	"""Muscle, Smooth"" is not defined in the Anatomy annotation"
43539	4	"SET Anatomy = {""Endothelium"",""vascular tissue""}"	IllegalAnnotationValueWarning	"""Endothelium"" is not defined in the Anatomy annotation"
44183	4	"SET CellStructure = ""extracellular space"""	IllegalAnnotationValueWarning	"""extracellular space"" is not defined in the CellStructure annotation"
44308	31	cat(p(RGD:Alox5)) increases bp(GOBP:necrosis)	MissingNamespaceNameWarning	"""necrosis"" is not in the GOBP namespace"
44926	8	"complex(SCOMP:""Catalytic Activity of T-cell receptor complex"") increases kin(p(HGNC:MAPK3))"	MissingNamespaceNameWarning	"""Catalytic Activity of T-cell receptor complex"" is not in the SCOMP namespace"
44927	8	"complex(SCOMP:""Catalytic Activity of T-cell receptor complex"") increases tscript(p(HGNC:NFATC2))"	MissingNamespaceNameWarning	"""Catalytic Activity of T-cell receptor complex"" is not in the SCOMP namespace"
44928	32	"p(HGNC:LCP2) increases (complex(SCOMP:""Catalytic Activity of T-cell receptor complex"") increases kin(p(HGNC:MAPK3)))"	MissingNamespaceNameWarning	"""Catalytic Activity of T-cell receptor complex"" is not in the SCOMP namespace"
44929	32	"p(HGNC:LCP2) increases (complex(SCOMP:""Catalytic Activity of T-cell receptor complex"") increases tscript(p(HGNC:NFATC2)))"	MissingNamespaceNameWarning	"""Catalytic Activity of T-cell receptor complex"" is not in the SCOMP namespace"
45231	0	p(EGID:432551) increases cat(p(MGI:Myd88))	InvalidFunctionSemantic	Protein EGID:432551 should be encoded as one of: Gene, RNA, miRNA
45235	0	p(EGID:432551) increases cat(p(MGI:Myd88))	InvalidFunctionSemantic	Protein EGID:432551 should be encoded as one of: Gene, RNA, miRNA
45250	0	p(EGID:432551) increases kin(p(MGI:Chuk))	InvalidFunctionSemantic	Protein EGID:432551 should be encoded as one of: Gene, RNA, miRNA
45251	0	p(EGID:432551) increases kin(p(MGI:Mapk1))	InvalidFunctionSemantic	Protein EGID:432551 should be encoded as one of: Gene, RNA, miRNA
45252	0	p(EGID:432551) increases kin(p(MGI:Mapk14))	InvalidFunctionSemantic	Protein EGID:432551 should be encoded as one of: Gene, RNA, miRNA
45253	0	p(EGID:432551) increases kin(p(MGI:Mapk3))	InvalidFunctionSemantic	Protein EGID:432551 should be encoded as one of: Gene, RNA, miRNA
45254	0	p(EGID:432551) increases kin(p(MGI:Mapk8))	InvalidFunctionSemantic	Protein EGID:432551 should be encoded as one of: Gene, RNA, miRNA
45255	0	p(EGID:432551) increases kin(p(MGI:Mapk9))	InvalidFunctionSemantic	Protein EGID:432551 should be encoded as one of: Gene, RNA, miRNA
45725	25	"p(HGNC:RB1) decreases bp(GOBP:""M/G1 transition of mitotic cell cycle"")"	MissingNamespaceNameWarning	"""M/G1 transition of mitotic cell cycle"" is not in the GOBP namespace"
45743	4	"SET CellLine = ""Carcinoma of leukemia"""	IllegalAnnotationValueWarning	"""Carcinoma of leukemia"" is not defined in the CellLine annotation"
45769	31	tscript(p(MGI:Trp53)) increases r(EGID:27282)	InvalidFunctionSemantic	RNA EGID:27282 should be encoded as one of: Gene
46185	23	p(HGNC:TGFB1) decreases p(EGID:85389)	InvalidFunctionSemantic	Protein EGID:85389 should be encoded as one of: Gene, RNA, miRNA
46186	23	p(HGNC:TGFB1) decreases p(EGID:85391)	InvalidFunctionSemantic	Protein EGID:85391 should be encoded as one of: Gene, RNA, miRNA
46385	4	"SET CellLine = ""MM.1S cell"""	IllegalAnnotationValueWarning	"""MM.1S cell"" is not defined in the CellLine annotation"
47644	4	"SET Cell = ""T-cell"""	IllegalAnnotationValueWarning	"""T-cell"" is not defined in the Cell annotation"
47785	4	"SET MeSHAnatomy = ""bronchoalveolar lavage fluid"""	IllegalAnnotationValueWarning	"""bronchoalveolar lavage fluid"" is not defined in the MeSHAnatomy annotation"
47798	4	"SET MeSHAnatomy = ""bronchoalveolar lavage fluid"""	IllegalAnnotationValueWarning	"""bronchoalveolar lavage fluid"" is not defined in the MeSHAnatomy annotation"
47904	4	"SET CellLine = ""Hepa1 cell"""	IllegalAnnotationValueWarning	"""Hepa1 cell"" is not defined in the CellLine annotation"
47987	4	"SET MeSHAnatomy = ""bronchoalveolar lavage fluid"""	IllegalAnnotationValueWarning	"""bronchoalveolar lavage fluid"" is not defined in the MeSHAnatomy annotation"
48638	8	complex(tscript(p(MGI:Tcf3)),g(MGI:Ptcra))	NakedNameWarning	"""tscript"" should be qualified with a valid namespace"
50484	4	"SET Anatomy = {""Muscle, Smooth"",""vascular tissue""}"	IllegalAnnotationValueWarning	"""Muscle, Smooth"" is not defined in the Anatomy annotation"
51381	10	tscript(p(MGI:Tcfap2a)) directlyIncreases r(MGI:Pltp)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
53391	4	"SET Cell = ""islet cell"""	IllegalAnnotationValueWarning	"""islet cell"" is not defined in the Cell annotation"
54014	51	tscript(p(MGI:Cited2)) directlyIncreases tscript(p(MGI:Tcfap2a))	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
54015	51	tscript(p(MGI:Cited2)) directlyIncreases tscript(p(MGI:Tcfap2b))	MissingNamespaceNameWarning	"""Tcfap2b"" is not in the MGI namespace"
54016	51	tscript(p(MGI:Cited2)) directlyIncreases tscript(p(MGI:Tcfap2c))	MissingNamespaceNameWarning	"""Tcfap2c"" is not in the MGI namespace"
54017	51	tscript(p(MGI:Cited2)) directlyIncreases tscript(p(MGI:Tcfap2d))	MissingNamespaceNameWarning	"""Tcfap2d"" is not in the MGI namespace"
54018	51	tscript(p(MGI:Cited2)) directlyIncreases tscript(p(MGI:Tcfap2e))	MissingNamespaceNameWarning	"""Tcfap2e"" is not in the MGI namespace"
55550	50	"bp(GOBP:""cell proliferation"") positiveCorrelation (p(HGNC:TGFB2) decreases p(HGNC:CDKN1B,pmod(P)))"	BELSyntaxError	"General Parser Failure on line 55550 at pos 50: bp(GOBP:""cell proliferation"") positiveCorrelation (p(HGNC:TGFB2) decreases p(HGNC:CDKN1B,pmod(P)))"
56046	4	"SET Cell = ""T-cell"""	IllegalAnnotationValueWarning	"""T-cell"" is not defined in the Cell annotation"
56255	4	"SET CellLine = ""SK-BR-3"""	IllegalAnnotationValueWarning	"""SK-BR-3"" is not defined in the CellLine annotation"
56266	4	"SET CellLine = ""SK-BR-3"""	IllegalAnnotationValueWarning	"""SK-BR-3"" is not defined in the CellLine annotation"
56469	10	tscript(p(MGI:Tcfap2a)) decreases r(MGI:Anxa1)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56470	10	tscript(p(MGI:Tcfap2a)) decreases r(MGI:Bhlhe40)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56471	10	tscript(p(MGI:Tcfap2a)) decreases r(MGI:Blcap)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56472	10	tscript(p(MGI:Tcfap2a)) decreases r(MGI:Bok)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56473	10	tscript(p(MGI:Tcfap2a)) decreases r(MGI:Fxyd4)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56474	10	tscript(p(MGI:Tcfap2a)) decreases r(MGI:Klf4)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56475	10	tscript(p(MGI:Tcfap2a)) decreases r(MGI:Ly6a)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56476	10	tscript(p(MGI:Tcfap2a)) decreases r(MGI:Mcm5)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56477	10	tscript(p(MGI:Tcfap2a)) decreases r(MGI:Prdx1)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56478	10	tscript(p(MGI:Tcfap2a)) decreases r(MGI:Prl8a2)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56479	10	tscript(p(MGI:Tcfap2a)) decreases r(MGI:Psap)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56480	10	tscript(p(MGI:Tcfap2a)) decreases r(MGI:Rpl6)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56481	10	tscript(p(MGI:Tcfap2a)) decreases r(MGI:Rplp0)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56482	10	tscript(p(MGI:Tcfap2a)) decreases r(MGI:Rps5)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56483	10	tscript(p(MGI:Tcfap2a)) decreases r(MGI:Stx7)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56484	10	tscript(p(MGI:Tcfap2a)) decreases r(MGI:Tmbim6)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56485	10	tscript(p(MGI:Tcfap2a)) decreases r(MGI:Uba52)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56486	10	tscript(p(MGI:Tcfap2a)) increases r(MGI:BC031181)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56487	10	tscript(p(MGI:Tcfap2a)) increases r(MGI:Brpf1)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56488	10	tscript(p(MGI:Tcfap2a)) increases r(MGI:Epha7)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56489	10	tscript(p(MGI:Tcfap2a)) increases r(MGI:Gpx3)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56490	10	tscript(p(MGI:Tcfap2a)) increases r(MGI:Grpel1)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56491	10	tscript(p(MGI:Tcfap2a)) increases r(MGI:Ilkap)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56492	10	tscript(p(MGI:Tcfap2a)) increases r(MGI:Mcts1)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56493	10	tscript(p(MGI:Tcfap2a)) increases r(MGI:Olfml3)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56494	10	tscript(p(MGI:Tcfap2a)) increases r(MGI:Pabpn1)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56495	10	tscript(p(MGI:Tcfap2a)) increases r(MGI:Psmc2)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56496	10	tscript(p(MGI:Tcfap2a)) increases r(MGI:Rchy1)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56497	10	tscript(p(MGI:Tcfap2a)) increases r(MGI:Rpl18)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56498	10	tscript(p(MGI:Tcfap2a)) increases r(MGI:Sepp1)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56499	10	tscript(p(MGI:Tcfap2a)) increases r(MGI:Snap23)	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the MGI namespace"
56790	4	"SET CellStructure = ""glycogen granule"""	IllegalAnnotationValueWarning	"""glycogen granule"" is not defined in the CellStructure annotation"
57407	47	"kin(p(SFAM:""PRKA Family"")) directlyIncreases p(RGD:Plin,pmod(P,S,223))"	MissingNamespaceNameWarning	"""Plin"" is not in the RGD namespace"
57408	47	"kin(p(SFAM:""PRKA Family"")) directlyIncreases p(RGD:Plin,pmod(P,S,81))"	MissingNamespaceNameWarning	"""Plin"" is not in the RGD namespace"
57913	32	p(RGD:Ctgf) increases tscript(p(RGD:Tcfap2a))	MissingNamespaceNameWarning	"""Tcfap2a"" is not in the RGD namespace"
57957	4	"SET CellLine = ""SK-BR-3"""	IllegalAnnotationValueWarning	"""SK-BR-3"" is not defined in the CellLine annotation"
57965	4	"SET CellLine = ""SK-BR-3"""	IllegalAnnotationValueWarning	"""SK-BR-3"" is not defined in the CellLine annotation"
58102	0	p(EGID:432551) increases cat(p(MGI:Tlr4))	InvalidFunctionSemantic	Protein EGID:432551 should be encoded as one of: Gene, RNA, miRNA
58736	4	"SET Cell = ""hepatoblastoma cell"""	IllegalAnnotationValueWarning	"""hepatoblastoma cell"" is not defined in the Cell annotation"
59417	4	"SET CellLine = ""rat-1 cell"""	IllegalAnnotationValueWarning	"""rat-1 cell"" is not defined in the CellLine annotation"
59440	4	"SET CellLine = ""rat-1 cell"""	IllegalAnnotationValueWarning	"""rat-1 cell"" is not defined in the CellLine annotation"
59557	4	SET CellStructure = peroxisome	IllegalAnnotationValueWarning	"""peroxisome"" is not defined in the CellStructure annotation"
60667	37	"kin(p(HGNC:RAF1)) increases (complex(SCOMP:""B-cell receptor complex"") increases kin(p(HGNC:MAPK1)))"	MissingNamespaceNameWarning	"""B-cell receptor complex"" is not in the SCOMP namespace"
60671	8	"complex(SCOMP:""B-cell receptor complex"") increases kin(p(HGNC:MAPK1))"	MissingNamespaceNameWarning	"""B-cell receptor complex"" is not in the SCOMP namespace"
60672	39	"kin(p(HGNC:MAP2K1)) increases (complex(SCOMP:""B-cell receptor complex"") increases kin(p(HGNC:MAPK1)))"	MissingNamespaceNameWarning	"""B-cell receptor complex"" is not in the SCOMP namespace"
60673	39	"kin(p(HGNC:MAP2K2)) increases (complex(SCOMP:""B-cell receptor complex"") increases kin(p(HGNC:MAPK1)))"	MissingNamespaceNameWarning	"""B-cell receptor complex"" is not in the SCOMP namespace"
60747	33	kin(p(HGNC:LYN)) increases cat(p(EGID:3602))	MissingNamespaceNameWarning	"""3602"" is not in the EGID namespace"
61493	4	"SET Disease = ""Atherosclerotic lesion"""	IllegalAnnotationValueWarning	"""Atherosclerotic lesion"" is not defined in the Disease annotation"
62454	86	"a(SCHEM:""15-deoxy-D12,14-prostaglandin J2"") decreases (p(HGNC:IFNG) increases complex(SCOMP:""Cell Surface Expression of MHC class II complex""))"	MissingNamespaceNameWarning	"""Cell Surface Expression of MHC class II complex"" is not in the SCOMP namespace"
62455	31	"p(HGNC:IFNG) increases complex(SCOMP:""Cell Surface Expression of MHC class II complex"")"	MissingNamespaceNameWarning	"""Cell Surface Expression of MHC class II complex"" is not in the SCOMP namespace"
62456	64	"a(CHEBI:troglitazone) decreases (p(HGNC:IFNG) increases complex(SCOMP:""Cell Surface Expression of MHC class II complex""))"	MissingNamespaceNameWarning	"""Cell Surface Expression of MHC class II complex"" is not in the SCOMP namespace"
